review_date,reviewer,star,helpful,text,course_name
2021-07-11,Faiqa R,1,3,Too much introductory. Not even a single lesson for job and Learning was nil. except the jargons.,foundations-data
2022-06-30,Trisha V,5,2,"I found this course to be very user friendly. I was at well I was able to follow along. I did have doubts in myself when starting, but the instructor kept me engaged and eager to learn more. Thank you",foundations-data
2021-04-27,Antony J,5,2,Gentle introduction to data analysis with a focus on soft skills.  The production quality of the videos is top-notch and it's clear a lot of time and thought has gone into developing the program.  ,foundations-data
2021-03-13,Daniel E R,3,2,"Some of the questions were odd or I believe them to be incorrect.  One of the final exam questions used 04000 as a zip code but the leading zero should probably be requested as text for '04000' in the where statement but this was counted as incorrect. Question 6 in one of the weeks asked what SELECT * did.  it says it selects all of the data from the table but that isn't quite correct, it selects all features of the data but a where clause would limit the data as well, so saying select * selects all of the data is misleading.",foundations-data
2021-07-01,jason,2,2,Well presented but often a game of guess the appropriate corporate jargon than come to grips with concepts. ,foundations-data
2021-07-13,Josemaría M,1,2,"I love Coursera, but I want to be completely honest:
- Content way too basic, even for beginners.
- It only covers theory and has no practice exercises.
- A quick guide and a couple of videos could have covered the entire module.",foundations-data
2021-07-24,Jinender t,1,2,"I would say for absolute begineer its fine but for begineer please just go straight why we are using SQL, how to use SQL python power BI tableu uses then go for programing ",foundations-data
2021-05-17,Roman Z,1,2,"The course is very very basic, dont teach anything technical
lots of talking, ZERO real value",foundations-data
2022-07-15,Josh T,5,1,"I'm still not sure if I need to go and learn how to use excel and/or google sheets better before we continue or if I'm going to be taught how to use these things in the following courses.  Also same for SQL and R programming.  It isn't clear from the course if we need some good solid background in this programs before continuing and I don't want to spend a ton of time learning something if we will be taugh it later.  A bit confusing and needs to be clarified.
Also....really think you should provide correct answers to the missed questions rather than linking to a past section.  I want to know what chart should have been used for the last question (and what the corret answer was in a prev quiz).  I think it should be pie chart and be nice to know the correct answer.  But course has been great!",foundations-data
2022-02-19,Omar K,5,1,"I really enjoyed this course of the Google Analytics program. It was very simple and easy to understand. I found myself know most of the concept were discussed in the course by logic, but Google Team helped to redefine the concepts in more technical way for better understand and to generalize the concepts on the real cases mentioned in the lessons. I have to admit that all the reading lessons were carefully and professionally designed and written for anyone who don't have a technical background would be able to understand. I was very satisfied with my experience in this course, and I'm looking forward for the rest of the program.
",foundations-data
2021-07-09,David D,5,1,"T​his course covers an overview  of Data Analysis topics and skills. It serves as an introduction to the larger Google Professional Certificiate program and does not always go in depth (""we'll cover that later in the course."") The real gold is in the optional, additional readings and resources which provide practical application for basic SQL, Tableau, and RStudio skills. Videos are entertaining, informative, and inspiring to hear from data analysts who are in the field. I have no experience in the field and explanations were broken down well so I was able to easily follow along.",foundations-data
2021-05-26,Juan A,5,1,"I just finished the course and I really enjoyed it. This course covers the basic concepts of Data Analysis, it gives you the basic knowledge you need about these topics, also you will get a breif showcase of all of the tools that will be used in later courses of this certificate (SQL, Excel and Visualization). I liked that they were constantly inviting students to participate in forums and learn from others experiences and points of view. If you're already experienced in this subjects the course provides a speed-track that you can take to validate you knowledge and move forward. ",foundations-data
2022-02-27,Bruce B,5,1,"G​reat information and review of the basics of Data Analytics.  Lots of useful terminology.  Everything worked well online, no issues at all.  In fact, I using an early 2014 MacBook Air with a dual-core i5 processor and only 4GB of RAM and, like I said before, everything just worked.  
FWIW, I suggest exploring each and every link that pops up during the course.  I am pretty sure I managed to miss some relevant information (completely on me, by-the-way) that might have been useful during the course challenge.  
E​ager to get started on the second course.
C​heers!
~​BB~",foundations-data
2022-08-08,Waqar A S,5,1,"Amazing course to begin the journey. Very thoughtfully made, the presentation style, blend of theoritical details with examples, quizes, scenarios and weekly challanges ensured that learning is easily grapsed by the participant while rataining the key concept for longer period of time.",foundations-data
2022-02-27,Shashwat  K,5,1,"I loved the course and I have learned a lot. The content is good along with the explanations in the video. However, I think there could have been more problems to use SQL and formulas and functions in the final course challenge. But, overall great experience.",foundations-data
2021-06-28,Abishek S,5,1,"Great course to start with the beginnings or basics in data analytics. Learned a lot in this course, thanks to google and coursera for this one. Data driven decision making is an art and I absolutely enjoyed being a part in this course. ",foundations-data
2021-03-14,Rosana F S d S,5,1,I just loved attending this course.  It made me very happy and discover that I know some skills that are high valued in the market nowadays. Thank you so much Coursera and Google for this opportunity!!!!  8:-),foundations-data
2021-05-17,Ramik M,5,1,It was a great course it really inspired me a lot to search about processes and steps to become data analyst this course is well designed to set up my journey as a data analyst and a good overview .,foundations-data
2022-02-28,Reyhan G,5,1,Very helpful and easy to understand. This course well suited for beginners and even for the intermediate ones to refresh and giving fundamental knowledge for a Data Analyst. Thank you Google!,foundations-data
2022-02-28,Maryam A,5,1,This course was a great start to the journey of data analysis. Instructor was awesome and I could easily relate to him and enjoyed his expressive style of teaching. Strongly recommond it.,foundations-data
2021-04-11,Guillermo A,5,1,"Excellent starting point, straightforward and clear information. The only thing I consider to need some polishing is the Qwiklabs part. Overall a great experience, thanks for everything!",foundations-data
2022-02-28,Marsha H,5,1,T​he course was very detailed and the instructor very engaging which made the subject matter fun to learn and easy to understand. ,foundations-data
2022-02-28,Shawn L,5,1,This course gave me a good idea of what to expect out of data analysis. I'm looking forward to the other courses in this program.,foundations-data
2021-11-02,Agnes G,5,1,A very good foundational course if you are keen on a career in data analytics. Thank you and GOD bless!,foundations-data
2021-03-12,EZZADDEEN M,5,1,"I enjoyed the course and learned a lot of basic important concepts.
",foundations-data
2021-07-02,Tushar B,5,1,so great to learn the key ascpects ,foundations-data
2021-07-02,AKSHAY P R,5,1,GOOD COURSE FOR STARTERS,foundations-data
2022-07-18,Madhav C,4,1,"Successfully I have completed the first course of the Google Data Analytics Professional Certificate. What I learn from this fundamental course “Foundations: Data, Data, Everywhere”, I just share with you all.  
The systematization of the analytics process was exceptionally helpful - probably the best takeaway of the entire certificate program.  This course is a great intro to data analytics skill. It introduces tools such as spreadsheets and SQL.  Found out why I'm always analytical about things in my personal life and the critical thinking that this provides.  
I enjoyed the stories that the different instructors shared, and can feel that they are personable people. I appreciate the work put into this!It would be nice if the subsequent text included a link to the section with the information because I felt some of the answers were difficult to go back and find.   
",foundations-data
2021-03-31,Robert P,4,1,"Good basic overview and introduction.
Some inconsistencies in volume level and lack of continuity between video sessions made the course difficult to listen to at times.
Because it's so basic, if you have any experience at all you will find many of the exercises--especially the writing exercises--very tedious and not particularly helpful.
The course's framing of holistic/accurate/open-minded analysis as ""fairness"" is confusing and could easily prove problematic in the formation of new analysts.",foundations-data
2021-03-14,Jonathan W,4,1,This course provides an interesting panorama of data analysis. I believe it to be a good starting point for those pursuing this career path. I think the course should add an interactive SQL component and possibly also an interactive spreadsheet component in which participants can see the results of queries and get automatedd feedback on whether they match intended results.,foundations-data
2021-10-05,Carla L,4,1,"I found the course and pace very interesting and liked the ratio of videos to readings to logs etc.  However, I felt the SQL and Query section needed way more practice for beginners like me. I don't think the section covered it enough to really get a grasp of SQL.",foundations-data
2021-03-14,B Z,4,1,"Comprehensive introduction to the data analytics methodology. It is especially helpful for people who are starting from scratch. If you scored well enough at the quiz and know excel, feel free to jump directly to the second course.",foundations-data
2021-04-09,Sedef E A,3,1,"I already attached my coursera account to Google, that is why even if I log into the coursera system from incognito mode the Qwiklabs keep getting an error as I am logged into my personal google account. That is so frustrating. Please fix it!",foundations-data
2021-06-17,Suman D,3,1,Course content is very basic,foundations-data
2021-03-17,ZHOU T,3,1,it is just an introduction,foundations-data
2021-05-24,David M,3,1,Too basic,foundations-data
2021-11-21,Chris M,2,1,"One day of material spread over a suggested 5 weeks.  Most of the material can be cut or moved to another course about general computer and professions skills.  Is it a coincidence that they offer 14-day free trial but don't teach anything for the first 5 weeks?  Finally, parts of the course seem politically motivated, like classifying all data a ""fact"".  Instead, they should focus on teaching the material and leave their personal politics at home.",foundations-data
2022-07-15,Juancarlos D,1,1,"I am dissapointed that i was right about my expectations on this first course, that it is just playing to the emotions and excitment. most of the course teaches nothing truly relevant to the process of learning data science. throughout the course i felt as though i had to read the Webster's dictionary definiton of what ask, process, share, blah, blah is. The teaching approach on this course is similar teaching a kid that wants to grow-up to be a baseball player, the he or she first need to know statistics and physics that is involved in the game of baseball. say, first learn at what angle the bat has to be in order to generate the height and speed necessarity to get the ball out of the park and what is the probability of it considering wind, rain, and other elements. THAT KID WILL NEVER GET SWING A BAT if this is the route he/she is on. So this bottom-up approach is BORING and IRRELEVANT. I don't think i need to know that ask comes before blah, and that share comes before blah. Get me hands-on activities that will encourage the student to ask what is the problem about, how to collect the data, what process should be follow, etc, etc. 
so again this course is only playing to the emotions and excitment. This course should not be required as part of this program. NOT SURPRISINGLY DISSAPOINTED.",foundations-data
2022-05-06,Brian M,1,1,"I would not recommend this course to anyone.  This course is designed for a specific type of person, with a specific type of rote memorization and recitation learning style. By taking this course, you can pretend to understand data by learning the lingo and following the steps.  A bit horrifying to see, but illuminating as to how the world has gone so wrong. Honest review from a real person with decades of expert hands-on real-world professional data experience in the manufacturing industry.",foundations-data
2022-05-16,Deleted A,1,1,"Some of the material was very repetitive and in the process terms kept changing making it a bit confusing to learn.
Hated how I had to fast forward thru the vides to mark complete or make a comment to the message board for it to complete. I just read the scripts for the videos - that is much better for me given my learning disability.
Overall - content was very good, useful, and helped me build a foundation for data analsics.",foundations-data
2021-11-19,Jennifer K,1,1,"Painfully easy, no real value to be gained. The steps of the process could have been a single lecture with multiple practice problems to help solidify the concepts. Why waste a supposed 5 weeks to go over redundant topics? The material realistically can be completed in a single day if you have the time, or over a week if only working on it an hour or so a day.",foundations-data
2022-06-14,Rafael G R,5,0,"Mi apreciacion es: Summa cum laude. Gracias a Tony y todos los demas del equipo. Excelente material para un amateur y mejor todavia, Gracias a Google y todos sus colaboradores. No se si con esta frase se define pero lo voy a intentar. He logrado  encontrar lo que he estado buscando por mucho tiempo, no sabiendo lo que era ni como lo conseguiria. 100% agradecido. Si hay satisfaccion en el deber complido, este 1er curso es como un primer paso a la luna. Mi idioma materno es el español(hablado en Republica Dominicana), asi que las expresiones y la traduccion al ingles no seran exactamente iguales.
My appreciation(point of view) of this first course is: Summa cum laude. Thanks to Tony and everyone else on the team. Excellent material for an amateur and even better, Thanks to Google and all its collaborators. I don't know if this phrase defines it but I'm going to try. I have managed to find what I have been looking for for a long time, not knowing what it was or how I would get it. 100% grateful. If there is satisfaction in the completed duty, this 1st course is like a first step to the moon. My mother tongue is Spanish (spoken in the Dominican Republic), so the expressions and the English translation will not be exactly the same.",foundations-data
2022-06-07,Jeremy K,5,0,"I really liked this course a lot! The instructor, Tony, was great! However, both a blessing and a curse, I took the fast-track assessment at the beginning. 
I scored 100%, which allowed me to bypass all the lessons and go straight to the  Graded Assignments. This was a great time-saver, but I did still go through a number of the lessons because I thought the material was very good. 
The reason I say the fast-track was also a curse is that I think even if you know enough to pass all of the graded assignments, there's a lot of cool information ""Professor"" Tony teaches -- that aren't hard skills per se, but incredibly useful -- you might miss out on some great lessons.
I'm on a tight time-frame to get through the program, however, I plan to go back through a bunch of the lessons, because I thought the content was just that good. 
I'm also going through the Meta/Facebook marketing analytics certification, and I have to say, this program is much, much better. It's much more cohesive and better designed. The case studies seem much more contextual and relevant to real-world scenarios. And the course is consistently interesting with high production quality. 
I'm excited to go through the rest of the courses!
",foundations-data
2022-03-14,sayan k,5,0,"My main career goal is to learn every day. I really want to learn and to progress in my career. Programming requires constant learning and improving. Taking this course will help me to learn and study this Data Science and also to implement it. It can help me advance in my knowledge. This course will help me in defining Data Science, understanding how Python could potentially impact our business and industry, to write a thought leadership piece regarding use cases and industry potential of Data Science, explain Data Science to clients, friends, joining a community of economists, business leaders, entrepreneurs, and technologists that are shaping this technology as we speak. Identifying which aspects of Data Science seem most important and relevant to us, Walking away with a strong foundation in where Data Science is going, what it does, and how to prepare for it. Data Science course will help me achieve it to learn. Courses on Coursera helped me to greatly increase my programming knowledge in the past.
",foundations-data
2022-07-04,Karan S,5,0,"Today I completed first step towards Data Analytics.

Before taking this course, I spent a lot of time in Excel and SQL so as to prepare myself for this course. But contradictory to this, Till now i hardly touch Excel or SQL in the course (as per course curriculum). Because this course is created so that we can know ""Why we are doing analysis?"" before doing analysis.

In this course I learned about Data Analysis Processes, Analytical Skills, Analytical Thinking, Data Life Cycle and much more. Among these topics, the topic which i like the most is ""Ask"" Phase- Where we Ask effective questions, define a problem, communicate with others.

And the most challenging topic for me is Data Bias - Fair/Unfair Analysis. I found it complicated, because there is no correct way to determine Fair/Unfair analysis. Hopefully, as I continue my course, I will understand more about it.

Thank You Coursera - Google Data Analytics Certificate for providing this amazing course.",foundations-data
2021-11-09,Owen E,5,0,"It was an excellent entry into data analytics for someone who has never even explored the subject before. Learned a lot of the core foundations that go into data analytics but it didn't feel like it was holding my hand too much. They provided tonnes of resources and reading materials that not only helped during the first stage of the course, but that I know will help for later on. Excited to continue! I've tried online courses before and always ended up being bored or overwhelmed with the workload. The way this course is structured makes it so easy to jump in and out of and the lack of pressure from tutors and none of those screaming bold, red ""MISSED DEADLINE"" headers on your page made this a very relaxing and enjoyable course to do. I'm not one for sticking with things and completing them, but being able to jump in and out of the course any time and do whatever work whenever I wanted to do it has motiviated me to continue. Really enjoyed it!",foundations-data
2021-03-29,Emily G L,5,0,"This course is a wide-lens view of what data analytics is and how it is done. At first I was a bit frustrated, because it felt like I wasn't learning any hard skills. But then I realized that this kind of information is really important to understand before jumping into learning about specific tools like SQL or Tableau. I needed to understand WHY I need these tools, and where they fit into the overall job of a data analyst, in order to fully appreciate and take advantage of learning in future courses. This course also served to fill in gaps in my knowledge that I didn't know that I had, such as the different between a data analyst and a data scientist. Overall, though it didn't teach me hard skills that I can put on my resume, I think that it really set me up to better understand why I am taking these courses (which will help me to stay motivated to complete the certificate) as well as make me excited about the role of an analyst in general. ",foundations-data
2022-09-25,ML,5,0,"T​his course was very educational. It's a well-thought-out course. I really like the short and simple quizzes.  It helped me remember the materials better. 
I would like to share one of my experiences during my time in school. In one of my classes, for our weekly assignment, we had to finish 50 to 100 problems in two days. We were so worried about not completing the assignment on time that we all forgot to understand the materials. We did the work, but we were too exhausted and we don't even remember how we got the answers lol. The majority of students failed this class. When I retook this course with another instructor, we only had around 5 homework problems. This instructor focused more on the students understanding the materials. Quizzes and Tests were very short and simple too. At the end of this course, majority of the students passed. This Google courses reminds of this wonderful class.",foundations-data
2022-01-14,Atul G,5,0,"The best way for a newbie to be introduced to Data Analytics. 
This course outlines what it means to be a data analyst and all that it involves in a very simple-to-understand way. Its simplicity should not be confused for a lack of content, which is plentiful and key concepts are handily explained. The course has a regular speaker guiding the learner through the various topics. Regular short quizzes and learning exercises ensure that the learner engages at appropriate intervals. There is a final test and certificate to be gained at the end but it also serves as a signpost that there is an exciting world on the horizon just waiting to be dived into by our budding data analyst in training.
I'm a working junior data analyst and the apprenticeship I completed a couple of years ago did not have such an effective introduction to the field as this course has. Very impressed. ",foundations-data
2022-09-08,Niall G,5,0,"T​his has been very good to do as a refresher. I did full time msc in data analytics 3 years ago, did a year in consulting, and took a career break, so this has been great to refresh on fundamental concepts and has focussed on practical aspects too where as my course was very data science - maths, stats, java/python/r/spark/db and applied ml algorithms /ml model evaluation-heavy throughout which was great from practical handson perspective, but this has been great at providing other angles on data analytics that math and code-heavy courses can skim over especially bias and ethics considerations and it's perfect for me as a refresher on topic as it keeps you focussed and learning within a structure. I like the repeat and timed challenges of the quizes and graded assignments. Ensures you pay attention to learning and understanding topics.",foundations-data
2021-10-07,emma b,5,0,"Fabulous start for a newbie. Amazing presenter - I thought he might be there throughout the full certification but only in this course one so far. There is such as wide range of topics covered in this course. It will clarify if the course is for you or not (in my case yes - huzzah!). It defines expectations and does exactly what a foundation course should do in preparing students for what is to come. It is exciting and honest-  it doesn't glamorize this industry. If you are completely new to this I would say add in a few extra hours of self learning to check out the links provided - it's worth the effort. Even if you ultimately decide data analytics is not your jam, this is still a very worthwhile all around interpretation of DA fundamentals, introducing us to a platform that affects all of us, every day, always has and always will.",foundations-data
